State	Up	Down	Left	Right
(1, 5, 0, 0)	0	0	0	0
(1, 5, 0, 1)	0	0	0	0
(1, 5, 0, 2)	0	0	0	0
(1, 5, 0, 3)	0	0	0	0
(1, 5, 0, 4)	0	0	0	0
(1, 5, 0, 5)	0	0	0	0
(1, 5, 0, 6)	0	0	0	0
(1, 5, 0, 7)	0	0	0	0
(1, 5, 0, 8)	0	0	0	0
(1, 5, 0, 9)	0	0	0	0
(1, 5, 0, 10)	0	0	0	0
(1, 5, 0, 11)	0	0	0	0
(1, 5, 0, 12)	0	0	0	0
(1, 5, 0, 13)	0	0	0	0
(1, 5, 1, 0)	0	0	0	0
(1, 5, 1, 1)	-643.2361893202161	-939.5584616185132	-639.4291457588927	-622.0286187173998
(1, 5, 1, 2)	-641.3870481389265	-945.8461950542003	-635.9343784427437	-633.6663586598363
(1, 5, 1, 3)	-624.118447199316	-957.8617174679083	-646.4376640589217	-624.7977163528749
(1, 5, 1, 4)	-573.3938803590897	-983.633298301628	-595.7334435584643	-524.5774539476076
(1, 5, 1, 5)	0	0	0	0
(1, 5, 1, 6)	0	0	0	0
(1, 5, 1, 7)	0	0	0	0
(1, 5, 1, 8)	-57.57324958657749	-527.4418341	-60.957937807583974	-63.9005089330273
(1, 5, 1, 9)	-62.5975855323872	-347.6829000000001	-61.74305338417393	-64.95700202553475
(1, 5, 1, 10)	-7.375936566183078	-101.10000000000001	-8.16688171802128	-7.313490150707501
(1, 5, 1, 11)	-1.3	-101.10000000000001	0	0
(1, 5, 1, 12)	-1.3	0	-1.3	0
(1, 5, 1, 13)	0	0	0	0
(1, 5, 2, 0)	0	0	0	0
(1, 5, 2, 1)	-687.9021333873151	-972.9095860011158	-690.8901601517381	-683.0109579076934
(1, 5, 2, 2)	-607.2835949295132	-980.1230687457992	-610.7454476786447	-608.3738170860391
(1, 5, 2, 3)	0	0	0	0
(1, 5, 2, 4)	-594.3848565316613	-1006.141116978391	-596.0082891245986	-540.7458615939676
(1, 5, 2, 5)	-124.65045721437723	-1012.9999999999995	-146.06839180226285	-43.05733339188714
(1, 5, 2, 6)	0	0	0	0
(1, 5, 2, 7)	0	0	0	0
(1, 5, 2, 8)	-73.55633210426295	-273.98100000000005	-82.75880373049537	-75.04107815990622
(1, 5, 2, 9)	-72.95289950986175	-619.3178856210001	-74.29463325461171	-73.92208322181745
(1, 5, 2, 10)	-26.4843174457084	-192.09000000000003	-26.887212978247685	-26.960173151076223
(1, 5, 2, 11)	-48.88617934871522	-347.6829000000001	-49.56792433946815	-70.75047022170693
(1, 5, 2, 12)	0	0	0	0
(1, 5, 2, 13)	0	0	0	0
(1, 5, 3, 0)	0	0	0	0
(1, 5, 3, 1)	-639.730692931613	-947.7026154566619	-639.32587350307	-614.8330154127794
(1, 5, 3, 2)	-638.3984427697145	-987.5096856840973	-637.2123647929791	-663.8802471128106
(1, 5, 3, 3)	0	0	0	0
(1, 5, 3, 4)	-579.1118305450259	-942.1333542492769	-578.9588992744174	-578.0796205121978
(1, 5, 3, 5)	-196.86184621910922	-1012.9228323464295	-315.00917135309726	-116.76684610763269
(1, 5, 3, 6)	0	0	0	0
(1, 5, 3, 7)	-72.68244424342802	-273.98100000000005	-81.63125111122034	-72.22440086028185
(1, 5, 3, 8)	-77.9089387187	-192.09000000000003	-97.371189178865	-77.61909520590497
(1, 5, 3, 9)	-55.88197217060008	-347.6829000000001	-55.21359745265126	-58.459549428193704
(1, 5, 3, 10)	-78.18604020431584	-347.6829000000001	-78.22322773930952	-113.43060365125407
(1, 5, 3, 11)	0	0	0	0
(1, 5, 3, 12)	0	0	0	0
(1, 5, 3, 13)	0	0	0	0
(1, 5, 4, 0)	0	0	0	0
(1, 5, 4, 1)	-663.2160104677371	-967.5662066679065	-661.1872738223433	-613.0702912130007
(1, 5, 4, 2)	-692.559657546725	-980.1230687457992	-692.583263670205	-688.7659036149687
(1, 5, 4, 3)	0	0	0	0
(1, 5, 4, 4)	-500.4274597893984	-806.0205009239312	-509.7980493739369	-519.7521839140119
(1, 5, 4, 5)	-34.647907546998134	-959.9848847743284	-406.11953455908315	-361.336419775661
